Establishment Category,Establishment Details,Establishment Status,Report Date,State,State Status
Outdoor and recreation,"Campgrounds; Gyms, pools, and sports leagues; Bowling alleys, miniature golf and batting cages; Aquariums, zoos; Skating rinks, playgrounds, country clubs",Open,"July 20, 2020",OH,Forward
Industries,"Manufacturing, distribution, construction; Offices",Open,"July 20, 2020",OH,Forward
Retail,Retail stores,Reopened,"July 20, 2020",OH,Forward
Food and drink,Restaurant dining and bars,Reopened,"July 20, 2020",OH,Forward
Personal care,"Salons, barbershops, etc.",Reopened,"July 20, 2020",OH,Forward
Houses of worship,,Reopened,"July 20, 2020",OH,Forward
Entertainment,"Movie theaters, museums, art galleries; Casinos, racinos, amusement parks, water parks",Reopened,"July 20, 2020",OH,Forward
Outdoor and recreation,"Campgrounds; Gyms, pools, and sports leagues; Bowling alleys, miniature golf and batting cages; Aquariums, zoos; Skating rinks, playgrounds, country clubs",Reopened,"July 20, 2020",OH,Forward
Industries,"Manufacturing, distribution, construction; Offices",Reopened,"July 20, 2020",OH,Forward
Retail,Retail stores,Open,"July 20, 2020",RI,Forward
Food and drink,Restaurant dining,Open,"July 20, 2020",RI,Forward
Personal care,"Hair salons, barbershops; Nail salons, massage parlors, tattoo shops",Open,"July 20, 2020",RI,Forward
Houses of worship,,Open,"July 20, 2020",RI,Forward
Outdoor and recreation,State parks; Beaches; Gyms; Casinos; Campgrounds,Open,"July 20, 2020",RI,Forward
Industries,Offices; Malls,Open,"July 20, 2020",RI,Forward
Retail,Retail stores,Reopened,"July 20, 2020",RI,Forward
Food and drink,Restaurant dining,Reopened,"July 20, 2020",RI,Forward
Personal care,"Hair salons, barbershops; Nail salons, massage parlors, tattoo shops",Reopened,"July 20, 2020",RI,Forward
Houses of worship,,Reopened,"July 20, 2020",RI,Forward
Outdoor and recreation,State parks; Beaches; Gyms; Casinos; Campgrounds,Reopened,"July 20, 2020",RI,Forward
Industries,Offices; Malls,Reopened,"July 20, 2020",RI,Forward
Retail,Retail stores,Open,"July 20, 2020",TN,Forward
Food and drink,Restaurant dining,Open,"July 20, 2020",TN,Forward
Personal care,"Salons, barbershops, etc.",Open,"July 20, 2020",TN,Forward
Houses of worship,,Open,"July 20, 2020",TN,Forward
Entertainment,"Theaters, museums, amusement parks",Open,"July 20, 2020",TN,Forward
Outdoor and recreation,State parks; Gyms,Open,"July 20, 2020",TN,Forward
Retail,Retail stores,Reopened,"July 20, 2020",TN,Forward
Food and drink,Restaurant dining,Reopened,"July 20, 2020",TN,Forward
Personal care,"Salons, barbershops, etc.",Reopened,"July 20, 2020",TN,Forward
Houses of worship,,Reopened,"July 20, 2020",TN,Forward
Entertainment,"Theaters, museums, amusement parks",Reopened,"July 20, 2020",TN,Forward
Outdoor and recreation,State parks; Gyms,Reopened,"July 20, 2020",TN,Forward
Retail,Retail stores,Open,"July 20, 2020",VT,Forward
Food and drink,Restaurant dining,Open,"July 20, 2020",VT,Forward
Personal care,"Hair salons and barbershops; Nail salons, spas, tattoo parlors",Open,"July 20, 2020",VT,Forward
Houses of worship,,Open,"July 20, 2020",VT,Forward
Entertainment,"Museums, theaters, libraries",Open,"July 20, 2020",VT,Forward
Outdoor and recreation,"State parks, golf courses, trails, etc.; Campgrounds; Gyms, fitness centers",Open,"July 20, 2020",VT,Forward
Industries,"Manufacturing, construction, distribution",Open,"July 20, 2020",VT,Forward
Retail,Retail stores,Reopened,"July 20, 2020",VT,Forward
Food and drink,Restaurant dining,Reopened,"July 20, 2020",VT,Forward
Personal care,"Hair salons and barbershops; Nail salons, spas, tattoo parlors",Reopened,"July 20, 2020",VT,Forward
Houses of worship,,Reopened,"July 20, 2020",VT,Forward
Entertainment,"Museums, theaters, libraries",Reopened,"July 20, 2020",VT,Forward
Outdoor and recreation,"State parks, golf courses, trails, etc.; Campgrounds; Gyms, fitness centers",Reopened,"July 20, 2020",VT,Forward
Industries,"Manufacturing, construction, distribution",Reopened,"July 20, 2020",VT,Forward
Retail,Retail stores,Open,"July 20, 2020",AL,Pausing
Food and drink,"Restaurant dining, bars and breweries",Open,"July 20, 2020",AL,Pausing
Personal care,Salons,Open,"July 20, 2020",AL,Pausing
Houses of worship,,Open,"July 20, 2020",AL,Pausing
Entertainment,Entertainment venues,Open,"July 20, 2020",AL,Pausing
Outdoor and recreation,Beaches; Gyms,Open,"July 20, 2020",AL,Pausing
Retail,Retail stores,Reopened,"July 20, 2020",AL,Pausing
Food and drink,"Restaurant dining, bars and breweries",Reopened,"July 20, 2020",AL,Pausing
Personal care,Salons,Reopened,"July 20, 2020",AL,Pausing
Houses of worship,,Reopened,"July 20, 2020",AL,Pausing
Entertainment,Entertainment venues,Reopened,"July 20, 2020",AL,Pausing
Outdoor and recreation,Beaches; Gyms,Reopened,"July 20, 2020",AL,Pausing
Retail,Retail,Open,"July 20, 2020",AR,Pausing
Food and drink,Restaurant dining; Bars,Open,"July 20, 2020",AR,Pausing
Personal care,"Hair salons, barbershops, nail salons, etc.",Open,"July 20, 2020",AR,Pausing
Houses of worship,,Open,"July 20, 2020",AR,Pausing
Entertainment,"Theaters, stadiums, museums, bowling alleys; Casinos; Large venues",Open,"July 20, 2020",AR,Pausing
Outdoor and recreation,Campgrounds; Gyms; Pools,Open,"July 20, 2020",AR,Pausing
Retail,Retail,Reopened,"July 20, 2020",AR,Pausing
Food and drink,Restaurant dining; Bars,Reopened,"July 20, 2020",AR,Pausing
Personal care,"Hair salons, barbershops, nail salons, etc.",Reopened,"July 20, 2020",AR,Pausing
Houses of worship,,Reopened,"July 20, 2020",AR,Pausing
Entertainment,"Theaters, stadiums, museums, bowling alleys; Casinos; Large venues",Reopened,"July 20, 2020",AR,Pausing
Outdoor and recreation,Campgrounds; Gyms; Pools,Reopened,"July 20, 2020",AR,Pausing
Retail,"Retail stores, malls",Open,"July 20, 2020",CT,Pausing
Food and drink,Restaurant dining,Open,"July 20, 2020",CT,Pausing
Personal care,"Hair salons, barbershops; Nail salons; Tattoo parlors, spas",Open,"July 20, 2020",CT,Pausing
Houses of worship,,Open,"July 20, 2020",CT,Pausing
Entertainment,"Museums, zoos; Casinos; Movie theaters; Libraries; Amusement parks, bowling alleys",Open,"July 20, 2020",CT,Pausing
Outdoor and recreation,Beaches; Gyms; State campgrounds,Open,"July 20, 2020",CT,Pausing
Industries,Offices,Open,"July 20, 2020",CT,Pausing
Food and drink,Bars,Closed,"July 20, 2020",CT,Pausing
Retail,"Retail stores, malls",Reopened,"July 20, 2020",CT,Pausing
Food and drink,Restaurant dining,Reopened,"July 20, 2020",CT,Pausing
Personal care,"Hair salons, barbershops; Nail salons; Tattoo parlors, spas",Reopened,"July 20, 2020",CT,Pausing
Houses of worship,,Reopened,"July 20, 2020",CT,Pausing
Entertainment,"Museums, zoos; Casinos; Movie theaters; Libraries; Amusement parks, bowling alleys",Reopened,"July 20, 2020",CT,Pausing
Outdoor and recreation,Beaches; Gyms; State campgrounds,Reopened,"July 20, 2020",CT,Pausing
Industries,Offices,Reopened,"July 20, 2020",CT,Pausing
Retail,Retail stores; Malls,Open,"July 20, 2020",DE,Pausing
Food and drink,Farmers markets; Restaurants; Bars in some areas,Open,"July 20, 2020",DE,Pausing
Personal care,"Barber shops, hair salons, tanning salons; Nail salons, tattoo parlors, massage therapy",Open,"July 20, 2020",DE,Pausing
Houses of worship,,Open,"July 20, 2020",DE,Pausing
Entertainment,"Museums, libraries, galleries, live performances; Casinos",Open,"July 20, 2020",DE,Pausing
Outdoor and recreation,Beaches; Pools; Gyms; Campgrounds,Open,"July 20, 2020",DE,Pausing
Retail,Retail stores; Malls,Reopened,"July 20, 2020",DE,Pausing
Food and drink,Farmers markets; Restaurants; Bars in some areas,Reopened,"July 20, 2020",DE,Pausing
Personal care,"Barber shops, hair salons, tanning salons; Nail salons, tattoo parlors, massage therapy",Reopened,"July 20, 2020",DE,Pausing
Houses of worship,,Reopened,"July 20, 2020",DE,Pausing
Entertainment,"Museums, libraries, galleries, live performances; Casinos",Reopened,"July 20, 2020",DE,Pausing
Outdoor and recreation,Beaches; Pools; Gyms; Campgrounds,Reopened,"July 20, 2020",DE,Pausing
Retail,Retail,Open,"July 20, 2020",ID,Pausing
Food and drink,Restaurant dining; Bars,Open,"July 20, 2020",ID,Pausing
Personal care,Hair salons,Open,"July 20, 2020",ID,Pausing
Houses of worship,,Open,"July 20, 2020",ID,Pausing
Entertainment,Movie theaters; Nightclubs; Large venues,Open,"July 20, 2020",ID,Pausing
Outdoor and recreation,Gyms; Pools and water parks,Open,"July 20, 2020",ID,Pausing
Retail,Retail,Reopened,"July 20, 2020",ID,Pausing
Food and drink,Restaurant dining; Bars,Reopened,"July 20, 2020",ID,Pausing
Personal care,Hair salons,Reopened,"July 20, 2020",ID,Pausing
Houses of worship,,Reopened,"July 20, 2020",ID,Pausing
Entertainment,Movie theaters; Nightclubs; Large venues,Reopened,"July 20, 2020",ID,Pausing
Outdoor and recreation,Gyms; Pools and water parks,Reopened,"July 20, 2020",ID,Pausing
Retail,Retail stores,Open,"July 20, 2020",IN,Pausing
Food and drink,Restaurant dining; Bars and nightclubs,Open,"July 20, 2020",IN,Pausing
Personal care,"Spas, salons, barbershops, tattoo parlors",Open,"July 20, 2020",IN,Pausing
Houses of worship,,Open,"July 20, 2020",IN,Pausing
Entertainment,"Libraries; Museums, zoos and aquariums; Venues; Movie theaters; Bowling alleys; Conventions, fairs, parades and similar events in most counties",Open,"July 20, 2020",IN,Pausing
Outdoor and recreation,"Gyms; Pools, tennis and basketball courts; Campgrounds; Amusement parks, water parks",Open,"July 20, 2020",IN,Pausing
Industries,"Manufacturing, offices",Open,"July 20, 2020",IN,Pausing
Entertainment,"Conventions, fairs, parades and similar events",Closed,"July 20, 2020",IN,Pausing
Retail,Retail stores,Reopened,"July 20, 2020",IN,Pausing
Food and drink,Restaurant dining; Bars and nightclubs,Reopened,"July 20, 2020",IN,Pausing
Personal care,"Spas, salons, barbershops, tattoo parlors",Reopened,"July 20, 2020",IN,Pausing
Houses of worship,,Reopened,"July 20, 2020",IN,Pausing
Entertainment,"Libraries; Museums, zoos and aquariums; Venues; Movie theaters; Bowling alleys; Conventions, fairs, parades and similar events in most counties",Reopened,"July 20, 2020",IN,Pausing
Outdoor and recreation,"Gyms; Pools, tennis and basketball courts; Campgrounds; Amusement parks, water parks",Reopened,"July 20, 2020",IN,Pausing
Industries,"Manufacturing, offices",Reopened,"July 20, 2020",IN,Pausing
Retail,Retail stores,Open,"July 20, 2020",MS,Pausing
Food and drink,"Restaurant dining, bars",Open,"July 20, 2020",MS,Pausing
Personal care,Salons and barbershops; Tattoo parlors,Open,"July 20, 2020",MS,Pausing
Houses of worship,,Open,"July 20, 2020",MS,Pausing
Entertainment,"Casinos; Movie theaters; Libraries, museums",Open,"July 20, 2020",MS,Pausing
Outdoor and recreation,State parks; Gyms,Open,"July 20, 2020",MS,Pausing
Retail,Retail stores,Reopened,"July 20, 2020",MS,Pausing
Food and drink,"Restaurant dining, bars",Reopened,"July 20, 2020",MS,Pausing
Personal care,Salons and barbershops; Tattoo parlors,Reopened,"July 20, 2020",MS,Pausing
Houses of worship,,Reopened,"July 20, 2020",MS,Pausing
Entertainment,"Casinos; Movie theaters; Libraries, museums",Reopened,"July 20, 2020",MS,Pausing
Outdoor and recreation,State parks; Gyms,Reopened,"July 20, 2020",MS,Pausing
Retail,Retail stores; Malls,Open,"July 20, 2020",NJ,Pausing
Food and drink,Outdoor dining at restaurants,Open,"July 20, 2020",NJ,Pausing
Personal care,"Hair salons, barbershops; Nail salons, tattoo parlors, spas, massage therapy, tanning salons",Open,"July 20, 2020",NJ,Pausing
Houses of worship,,Open,"July 20, 2020",NJ,Pausing
Entertainment,"Libraries for curbside pickup; Casinos; Playgrounds, water parks, amusement parks; Museums, libraries, aquariums; Bowling alleys, batting cages, shooting ranges",Open,"July 20, 2020",NJ,Pausing
Outdoor and recreation,Golf courses; Beaches; Campgrounds; Gyms for personal training; Pools,Open,"July 20, 2020",NJ,Pausing
Industries,Construction,Open,"July 20, 2020",NJ,Pausing
Food and drink,"Breweries, wineries and distilleries",Closed,"July 20, 2020",NJ,Pausing
Entertainment,Movie theaters,Closed,"July 20, 2020",NJ,Pausing
Retail,Retail stores; Malls,Reopened,"July 20, 2020",NJ,Pausing
Food and drink,Outdoor dining at restaurants,Reopened,"July 20, 2020",NJ,Pausing
Personal care,"Hair salons, barbershops; Nail salons, tattoo parlors, spas, massage therapy, tanning salons",Reopened,"July 20, 2020",NJ,Pausing
Houses of worship,,Reopened,"July 20, 2020",NJ,Pausing
Entertainment,"Libraries for curbside pickup; Casinos; Playgrounds, water parks, amusement parks; Museums, libraries, aquariums; Bowling alleys, batting cages, shooting ranges",Reopened,"July 20, 2020",NJ,Pausing
Outdoor and recreation,Golf courses; Beaches; Campgrounds; Gyms for personal training; Pools,Reopened,"July 20, 2020",NJ,Pausing
Industries,Construction,Reopened,"July 20, 2020",NJ,Pausing
Retail,Retail stores,Open,"July 20, 2020",NC,Pausing
Food and drink,Restaurant dining,Open,"July 20, 2020",NC,Pausing
Personal care,"Salons, barbershops, tattoo parlors",Open,"July 20, 2020",NC,Pausing
Houses of worship,,Open,"July 20, 2020",NC,Pausing
Outdoor and recreation,Pools,Open,"July 20, 2020",NC,Pausing
Food and drink,Bars,Closed,"July 20, 2020",NC,Pausing
Entertainment,Movie theaters,Closed,"July 20, 2020",NC,Pausing
Outdoor and recreation,Gyms,Closed,"July 20, 2020",NC,Pausing
Retail,Retail stores,Reopened,"July 20, 2020",NC,Pausing
Food and drink,Restaurant dining,Reopened,"July 20, 2020",NC,Pausing
Personal care,"Salons, barbershops, tattoo parlors",Reopened,"July 20, 2020",NC,Pausing
Houses of worship,,Reopened,"July 20, 2020",NC,Pausing
Outdoor and recreation,Pools,Reopened,"July 20, 2020",NC,Pausing
Retail,Retail stores,Open,"July 20, 2020",OR,Pausing
Food and drink,Restaurants and bars,Open,"July 20, 2020",OR,Pausing
Personal care,"Salons, barbershops",Open,"July 20, 2020",OR,Pausing
Houses of worship,,Open,"July 20, 2020",OR,Pausing
Entertainment,"Movie theaters, bowling alleys in most counties",Open,"July 20, 2020",OR,Pausing
Outdoor and recreation,Some state parks; Pools in most counties; Gyms,Open,"July 20, 2020",OR,Pausing
Industries,Offices in most counties,Open,"July 20, 2020",OR,Pausing
Retail,Retail stores,Reopened,"July 20, 2020",OR,Pausing
Food and drink,Restaurants and bars,Reopened,"July 20, 2020",OR,Pausing
Personal care,"Salons, barbershops",Reopened,"July 20, 2020",OR,Pausing
Houses of worship,,Reopened,"July 20, 2020",OR,Pausing
Entertainment,"Movie theaters, bowling alleys in most counties",Reopened,"July 20, 2020",OR,Pausing
Outdoor and recreation,Some state parks; Pools in most counties; Gyms,Reopened,"July 20, 2020",OR,Pausing
Industries,Offices in most counties,Reopened,"July 20, 2020",OR,Pausing
Retail,Retail stores,Open,"July 20, 2020",SC,Pausing
Food and drink,Restaurant dining,Open,"July 20, 2020",SC,Pausing
Personal care,"Salons, barbershops, tattoo parlors, etc.",Open,"July 20, 2020",SC,Pausing
Houses of worship,,Open,"July 20, 2020",SC,Pausing
Entertainment,"Museums, zoos, aquariums",Open,"July 20, 2020",SC,Pausing
Outdoor and recreation,"Beaches, piers, docks, etc.; Gyms; Pools",Open,"July 20, 2020",SC,Pausing
Retail,Retail stores,Reopened,"July 20, 2020",SC,Pausing
Food and drink,Restaurant dining,Reopened,"July 20, 2020",SC,Pausing
Personal care,"Salons, barbershops, tattoo parlors, etc.",Reopened,"July 20, 2020",SC,Pausing
Houses of worship,,Reopened,"July 20, 2020",SC,Pausing
Entertainment,"Museums, zoos, aquariums",Reopened,"July 20, 2020",SC,Pausing
Outdoor and recreation,"Beaches, piers, docks, etc.; Gyms; Pools",Reopened,"July 20, 2020",SC,Pausing
Retail,Retail stores,Open,"July 20, 2020",WA,Pausing
Food and drink,Restaurant dining in most counties,Open,"July 20, 2020",WA,Pausing
Personal care,"Gyms in most counties; Hair salons, barbershops, tattoo parlors, etc.; Pet grooming",Open,"July 20, 2020",WA,Pausing
Houses of worship,Religious services in most counties,Open,"July 20, 2020",WA,Pausing
Entertainment,Casinos,Open,"July 20, 2020",WA,Pausing
Outdoor and recreation,"State parks, fishing, hunting, golf courses",Open,"July 20, 2020",WA,Pausing
Industries,Construction,Open,"July 20, 2020",WA,Pausing
Retail,Retail stores,Reopened,"July 20, 2020",WA,Pausing
Food and drink,Restaurant dining in most counties,Reopened,"July 20, 2020",WA,Pausing
Personal care,"Gyms in most counties; Hair salons, barbershops, tattoo parlors, etc.; Pet grooming",Reopened,"July 20, 2020",WA,Pausing
Houses of worship,Religious services in most counties,Reopened,"July 20, 2020",WA,Pausing
Entertainment,Casinos,Reopened,"July 20, 2020",WA,Pausing
Outdoor and recreation,"State parks, fishing, hunting, golf courses",Reopened,"July 20, 2020",WA,Pausing
Industries,Construction,Reopened,"July 20, 2020",WA,Pausing
Retail,Retail stores,Open,"July 20, 2020",WY,Pausing
